iteration,rss_kb
0,2800
1000,2896
2000,2904
3000,2904
4000,2908
5000,2912
6000,2916
7000,2916
8000,2916
9000,2916
10000,2916
11000,2916
12000,2916
13000,2916
14000,2916
15000,2916
16000,2916
17000,2916
18000,2916
19000,2916
20000,2916
